Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
14th match (N),Pune,18-April-2015,18-April-2015,KXIP,KKR,155,9,159,6,156,20,17.5,20,20,KKR won by 4 wickets (with 13 balls remaining)
15th match (D/N),Ahmedabad,19-April-2015,19-April-2015,CSK,RR,156,4,157,2,157,20,18.2,20,20,RR won by 8 wickets (with 10 balls remaining)
16th match (N),Bengaluru,19-April-2015,19-April-2015,MI,RCB,209,7,191,7,210,20,20,20,20,MI won by 18 runs
17th match (N),Delhi,20-April-2015,20-April-2015,DC,KKR,146,8,147,4,147,20,18.1,20,20,KKR won by 6 wickets (with 11 balls remaining)
18th match (N),Ahmedabad,21-April-2015,21-April-2015,RR,KXIP,191,6,191,6,192,20,20,20,20,Match tied (Kings XI won the one-over eliminator)
19th match (D/N),Visakhapatnam,22-April-2015,22-April-2015,SRH,KKR,176,4,101,4,177,20,12,20,12,SRH won by 16 runs (D/L method)
20th match (N),Bengaluru,22-April-2015,22-April-2015,CSK,RCB,181,8,154,8,182,20,20,20,20,CSK won by 27 runs
21st match (N),Delhi,23-April-2015,23-April-2015,DC,MI,190,4,153,9,191,20,20,20,20,Daredevils won by 37 runs
22nd match (N),Ahmedabad,24-April-2015,24-April-2015,RR,RCB,130,9,134,1,131,20,16.1,20,20,RCB won by 9 wickets (with 23 balls remaining)
23rd match (D/N),Wankhede,25-April-2015,25-April-2015,MI,SRH,157,8,137,8,158,20,20,20,20,MI won by 20 runs
24th match (N),Chennai,25-April-2015,25-April-2015,CSK,KXIP,192,3,95,9,193,20,20,20,20,CSK won by 97 runs
26th match (N),Delhi,26-April-2015,26-April-2015,DC,RCB,95,10,99,0,96,18.2,10.3,20,20,RCB won by 10 wickets (with 57 balls remaining)
27th match (N),Mohali,27-April-2015,27-April-2015,SRH,KXIP,150,6,130,9,151,20,20,20,20,SRH won by 20 runs
28th match (N),Chennai,28-April-2015,28-April-2015,CSK,KKR,134,6,132,9,135,20,20,20,20,CSK won by 2 runs
30th match (N),Eden Gardens,30-April-2015,30-April-2015,CSK,KKR,165,9,169,3,166,20,19.5,20,20,KKR won by 7 wickets (with 1 ball remaining)
31st match (D/N),Delhi,01-May-2015,01-May-2015,KXIP,DC,118,8,119,1,119,20,13.5,20,20,Daredevils won by 9 wickets (with 37 balls remaining)
32nd match (N),Wankhede,01-May-2015,01-May-2015,MI,RR,187,5,179,7,188,20,20,20,20,MI won by 8 runs
33rd match (D/N),Bengaluru,02-May-2015,02-May-2015,KKR,RCB,10,10,115,3,11,10,9.4,10,10,RCB won by 7 wickets (with 2 balls remaining)
34th match (N),Hyderabad,02-May-2015,02-May-2015,SRH,CSK,192,7,170,6,193,20,20,20,20,SRH won by 22 runs
35th match (D/N),Mohali,03-May-2015,03-May-2015,MI,KXIP,172,3,149,7,173,20,20,20,20,MI won by 23 runs
36th match (N),Brabourne,03-May-2015,03-May-2015,RR,DC,189,2,175,7,190,20,20,20,20,RR won by 14 runs
37th match (D/N),Chennai,04-May-2015,04-May-2015,CSK,RCB,148,9,124,10,149,20,19.4,20,20,CSK won by 24 runs
38th match (N),Eden Gardens,04-May-2015,04-May-2015,KKR,SRH,167,7,132,9,168,20,20,20,20,KKR won by 35 runs
39th match (N),Wankhede,05-May-2015,05-May-2015,DC,MI,152,6,153,5,153,20,19.3,20,20,MI won by 5 wickets (with 3 balls remaining)
40th match (N),Bengaluru,06-May-2015,06-May-2015,RCB,KXIP,226,3,88,10,227,20,13.4,20,20,RCB won by 138 runs
41st match (D/N),Brabourne,07-May-2015,07-May-2015,SRH,RR,201,4,194,7,202,20,20,20,20,SRH won by 7 runs
42nd match (N),Eden Gardens,07-May-2015,07-May-2015,KKR,DC,171,7,158,6,172,20,20,20,20,KKR won by 13 runs
43rd match (N),Chennai,08-May-2015,08-May-2015,CSK,MI,158,5,159,4,159,20,19.2,20,20,MI won by 6 wickets (with 4 balls remaining)
44th match (D/N),Eden Gardens,09-May-2015,09-May-2015,KXIP,KKR,183,5,184,9,184,20,19.5,20,20,KKR won by 1 wicket (with 1 ball remaining)
45th match (N),Raipur,09-May-2015,09-May-2015,SRH,DC,163,4,157,4,164,20,20,20,20,SRH won by 6 runs
46th match (D/N),Wankhede,10-May-2015,10-May-2015,RCB,MI,235,1,196,7,236,20,20,20,20,RCB won by 39 runs
47th match (N),Chennai,10-May-2015,10-May-2015,CSK,RR,157,5,145,9,158,20,20,20,20,CSK won by 12 runs
48th match (N),Hyderabad,11-May-2015,11-May-2015,SRH,KXIP,185,5,180,7,186,20,20,20,20,SRH won by 5 runs
49th match (N),Raipur,12-May-2015,12-May-2015,CSK,DC,119,6,120,4,120,20,16.4,20,20,Daredevils won by 6 wickets (with 20 balls remaining)
50th match (N),Mohali,13-May-2015,13-May-2015,KXIP,RCB,10,10,84,6,11,10,10,10,10,Kings XI won by 22 runs
51st match (N),Wankhede,14-May-2015,14-May-2015,MI,KKR,171,4,166,7,172,20,20,20,20,MI won by 5 runs
52nd match (N),Hyderabad,15-May-2015,15-May-2015,SRH,RCB,11,10,83,4,12,11,5.5,11,6,RCB won by 6 wickets (with 1 ball remaining) (D/L method)
53rd match (D/N),Mohali,16-May-2015,16-May-2015,KXIP,CSK,130,7,134,3,131,20,16.5,20,20,CSK won by 7 wickets (with 19 balls remaining)
54th match (N),Brabourne,16-May-2015,16-May-2015,RR,KKR,199,6,190,9,200,20,20,20,20,RR won by 9 runs
55th match (D/N),Bengaluru,17-May-2015,17-May-2015,DC,RCB,187,5,2,0,188,20,1.1,20,20,No result
56th match (N),Hyderabad,17-May-2015,17-May-2015,SRH,MI,113,10,114,1,114,20,13.5,20,20,MI won by 9 wickets (with 37 balls remaining)
Qualifier 1 (N),Wankhede,19-May-2015,19-May-2015,MI,CSK,187,6,162,10,188,20,19,20,20,MI won by 25 runs
Eliminator (N),Pune,20-May-2015,20-May-2015,RCB,RR,180,4,109,10,181,20,19,20,20,RCB won by 71 runs
Qualifier 2 (N),Ranchi,22-May-2015,22-May-2015,RCB,CSK,139,8,140,7,140,20,19.5,20,20,CSK won by 3 wickets (with 1 ball remaining)
Final (N),Eden Gardens,24-May-2015,24-May-2015,MI,CSK,202,5,161,8,203,20,20,20,20,MI won by 41 runs
1st match (N),Wankhede,09-April-2016,09-April-2016,MI,RPS,121,8,126,1,122,20,14.4,20,20,Supergiants won by 9 wickets (with 32 balls remaining)
2nd match (N),Eden Gardens,10-April-2016,10-April-2016,DC,KKR,98,10,99,1,99,17.4,14.1,20,20,KKR won by 9 wickets (with 35 balls remaining)
3rd match (N),Mohali,11-April-2016,11-April-2016,KXIP,GL,161,6,162,5,162,20,17.4,20,20,Guj Lions won by 5 wickets (with 14 balls remaining)
4th match (N),Bengaluru,12-April-2016,12-April-2016,RCB,SRH,227,4,182,6,228,20,20,20,20,RCB won by 45 runs
5th match (N),Eden Gardens,13-April-2016,13-April-2016,KKR,MI,187,5,188,4,188,20,19.1,20,20,MI won by 6 wickets (with 5 balls remaining)
6th match (N),Rajkot,14-April-2016,14-April-2016,RPS,GL,163,5,164,3,164,20,18,20,20,Guj Lions won by 7 wickets (with 12 balls remaining)
7th match (N),Delhi,15-April-2016,15-April-2016,KXIP,DC,111,9,113,2,112,20,13.3,20,20,Daredevils won by 8 wickets (with 39 balls remaining)
8th match (D/N),Hyderabad,16-April-2016,16-April-2016,SRH,KKR,142,7,146,2,143,20,18.2,20,20,KKR won by 8 wickets (with 10 balls remaining)
9th match (N),Wankhede,16-April-2016,16-April-2016,MI,GL,143,8,147,7,144,20,20,20,20,Guj Lions won by 3 wickets (with 0 balls remaining)
10th match (D/N),Mohali,17-April-2016,17-April-2016,RPS,KXIP,152,7,153,4,153,20,18.4,20,20,Kings XI won by 6 wickets (with 8 balls remaining)
11th match (N),Bengaluru,17-April-2016,17-April-2016,RCB,DC,191,5,192,3,192,20,19.1,20,20,Daredevils won by 7 wickets (with 5 balls remaining)
12th match (N),Hyderabad,18-April-2016,18-April-2016,MI,SRH,142,6,145,3,143,20,17.3,20,20,SRH won by 7 wickets (with 15 balls remaining)
13th match (N),Mohali,19-April-2016,19-April-2016,KXIP,KKR,138,8,141,4,139,20,17.1,20,20,KKR won by 6 wickets (with 17 balls remaining)
14th match (N),Wankhede,20-April-2016,20-April-2016,RCB,MI,170,7,171,4,171,20,18,20,20,MI won by 6 wickets (with 12 balls remaining)
15th match (N),Rajkot,21-April-2016,21-April-2016,GL,SRH,135,8,137,0,136,20,14.5,20,20,SRH won by 10 wickets (with 31 balls remaining)
16th match (N),Pune,22-April-2016,22-April-2016,RCB,RPS,185,3,172,8,186,20,20,20,20,RCB won by 13 runs
17th match (D/N),Delhi,23-April-2016,23-April-2016,DC,MI,164,4,154,7,165,20,20,20,20,Daredevils won by 10 runs
18th match (N),Hyderabad,23-April-2016,23-April-2016,KXIP,SRH,143,6,146,5,144,20,17.5,20,20,SRH won by 5 wickets (with 13 balls remaining)
19th match (D/N),Rajkot,24-April-2016,24-April-2016,RCB,GL,180,2,182,4,181,20,19.3,20,20,Guj Lions won by 6 wickets (with 3 balls remaining)
20th match (N),Pune,24-April-2016,24-April-2016,RPS,KKR,160,5,162,8,161,20,19.3,20,20,KKR won by 2 wickets (with 3 balls remaining)
21st match (N),Mohali,25-April-2016,25-April-2016,MI,KXIP,189,6,164,7,190,20,20,20,20,MI won by 25 runs
22nd match (N),Hyderabad,26-April-2016,26-April-2016,SRH,RPS,118,8,94,3,119,20,11,20,11,Supergiants won by 34 runs (D/L method)
23rd match (N),Delhi,27-April-2016,27-April-2016,GL,DC,172,6,171,5,173,20,20,20,20,Guj Lions won by 1 run
24th match (N),Wankhede,28-April-2016,28-April-2016,KKR,MI,174,5,178,4,175,20,18,20,20,MI won by 6 wickets (with 12 balls remaining)
25th match (N),Pune,29-April-2016,29-April-2016,RPS,GL,195,3,196,7,196,20,20,20,20,Guj Lions won by 3 wickets (with 0 balls remaining)
26th match (D/N),Delhi,30-April-2016,30-April-2016,DC,KKR,186,8,159,10,187,20,18.3,20,20,Daredevils won by 27 runs
27th match (N),Hyderabad,30-April-2016,30-April-2016,SRH,RCB,194,5,179,6,195,20,20,20,20,SRH won by 15 runs
28th match (D/N),Rajkot,01-May-2016,01-May-2016,KXIP,GL,154,10,131,9,155,19.5,20,20,20,Kings XI won by 23 runs
29th match (N),Pune,01-May-2016,01-May-2016,RPS,MI,159,5,161,2,160,20,18.3,20,20,MI won by 8 wickets (with 9 balls remaining)
30th match (N),Bengaluru,02-May-2016,02-May-2016,RCB,KKR,185,7,189,5,186,20,19.1,20,20,KKR won by 5 wickets (with 5 balls remaining)
31st match (N),Rajkot,03-May-2016,03-May-2016,GL,DC,149,7,150,2,150,20,17.2,20,20,Daredevils won by 8 wickets (with 16 balls remaining)
32nd match (N),Eden Gardens,04-May-2016,04-May-2016,KKR,KXIP,164,3,157,9,165,20,20,20,20,KKR won by 7 runs
33rd match (N),Delhi,05-May-2016,05-May-2016,DC,RPS,162,7,166,3,163,20,19.1,20,20,Supergiants won by 7 wickets (with 5 balls remaining)
34th match (N),Hyderabad,06-May-2016,06-May-2016,GL,SRH,126,6,129,5,127,20,19,20,20,SRH won by 5 wickets (with 6 balls remaining)
35th match (D/N),Bengaluru,07-May-2016,07-May-2016,RPS,RCB,191,6,195,3,192,20,19.3,20,20,RCB won by 7 wickets (with 3 balls remaining)
36th match (N),Mohali,07-May-2016,07-May-2016,KXIP,DC,181,5,172,5,182,20,20,20,20,Kings XI won by 9 runs
37th match (D/N),Visakhapatnam,08-May-2016,08-May-2016,SRH,MI,177,3,92,10,178,20,16.3,20,20,SRH won by 85 runs
38th match (N),Eden Gardens,08-May-2016,08-May-2016,KKR,GL,158,4,164,5,159,20,18,20,20,Guj Lions won by 5 wickets (with 12 balls remaining)
39th match (N),Mohali,09-May-2016,09-May-2016,RCB,KXIP,175,6,174,4,176,20,20,20,20,RCB won by 1 run
40th match (N),Visakhapatnam,10-May-2016,10-May-2016,SRH,RPS,137,8,133,8,138,20,20,20,20,SRH won by 4 runs
41st match (N),Bengaluru,11-May-2016,11-May-2016,RCB,MI,151,4,153,4,152,20,18.4,20,20,MI won by 6 wickets (with 8 balls remaining)
42nd match (N),Hyderabad,12-May-2016,12-May-2016,SRH,DC,146,8,150,3,147,20,18.1,20,20,Daredevils won by 7 wickets (with 11 balls remaining)
43rd match (N),Visakhapatnam,13-May-2016,13-May-2016,MI,KXIP,124,9,127,3,125,20,17,20,20,Kings XI won by 7 wickets (with 18 balls remaining)
44th match (D/N),Bengaluru,14-May-2016,14-May-2016,RCB,GL,248,3,104,10,249,20,18.4,20,20,RCB won by 144 runs
45th match (N),Eden Gardens,14-May-2016,14-May-2016,RPS,KKR,174,10,66,2,175,17.4,5,174,9,KKR won by 8 wickets (with 24 balls remaining) (D/L method)
46th match (D/N),Mohali,15-May-2016,15-May-2016,KXIP,SRH,179,4,180,3,180,20,19.4,20,20,SRH won by 7 wickets (with 2 balls remaining)
47th match (N),Visakhapatnam,15-May-2016,15-May-2016,MI,DC,206,4,126,10,207,20,19.1,20,20,MI won by 80 runs
48th match (N),Eden Gardens,16-May-2016,16-May-2016,KKR,RCB,183,5,186,1,184,20,18.4,20,20,RCB won by 9 wickets (with 8 balls remaining)
49th match (N),Visakhapatnam,17-May-2016,17-May-2016,DC,RPS,121,6,76,1,122,20,11,20,11,Supergiants won by 19 runs (D/L method)
50th match (N),Bengaluru,18-May-2016,18-May-2016,RCB,KXIP,15,10,120,9,16,15,14,15,14,RCB won by 82 runs (D/L method)
51st match (N),Kanpur,19-May-2016,19-May-2016,KKR,GL,124,8,125,4,125,20,13.3,20,20,Guj Lions won by 6 wickets (with 39 balls remaining)
52nd match (N),Raipur,20-May-2016,20-May-2016,SRH,DC,158,7,161,4,159,20,20,20,20,Daredevils won by 6 wickets (with 0 balls remaining)
53rd match (D/N),Visakhapatnam,21-May-2016,21-May-2016,KXIP,RPS,172,7,173,6,173,20,20,20,20,Supergiants won by 4 wickets (with 0 balls remaining)
54th match (N),Kanpur,21-May-2016,21-May-2016,MI,GL,172,8,173,4,173,20,17.5,20,20,Guj Lions won by 6 wickets (with 13 balls remaining)
55th match (D/N),Eden Gardens,22-May-2016,22-May-2016,KKR,SRH,171,6,149,8,172,20,20,20,20,KKR won by 22 runs
56th match (N),Raipur,22-May-2016,22-May-2016,DC,RCB,138,8,139,4,139,20,18.1,20,20,RCB won by 6 wickets (with 11 balls remaining)
Qualifier 1 (N),Bengaluru,24-May-2016,24-May-2016,GL,RCB,158,10,159,6,159,20,18.2,20,20,RCB won by 4 wickets (with 10 balls remaining)
Eliminator (N),Delhi,25-May-2016,25-May-2016,SRH,KKR,162,8,140,8,163,20,20,20,20,SRH won by 22 runs
Qualifier 2 (N),Delhi,27-May-2016,27-May-2016,GL,SRH,162,7,163,6,163,20,19.2,20,20,SRH won by 4 wickets (with 4 balls remaining)
Final (N),Bengaluru,29-May-2016,29-May-2016,SRH,RCB,208,7,200,7,209,20,20,20,20,SRH won by 8 runs
1st match (N),Hyderabad,05-April-2017,05-April-2017,SRH,RCB,207,4,172,10,208,20,19.4,20,20,SRH won by 35 runs
2nd match (N),Pune,06-April-2017,06-April-2017,MI,RPS,184,8,187,3,185,20,19.5,20,20,Supergiant won by 7 wickets (with 1 ball remaining)
3rd match (N),Rajkot,07-April-2017,07-April-2017,GL,KKR,183,4,184,0,184,20,14.5,20,20,KKR won by 10 wickets (with 31 balls remaining)
4th match (D/N),Indore,08-April-2017,08-April-2017,RPS,KXIP,163,6,164,4,164,20,19,20,20,Kings XI won by 6 wickets (with 6 balls remaining)
5th match (N),Bengaluru,08-April-2017,08-April-2017,RCB,DC,157,8,142,9,158,20,20,20,20,RCB won by 15 runs
6th match (D/N),Hyderabad,09-April-2017,09-April-2017,GL,SRH,135,7,140,1,136,20,15.3,20,20,SRH won by 9 wickets (with 27 balls remaining)
7th match (N),Wankhede,09-April-2017,09-April-2017,KKR,MI,178,7,180,6,179,20,19.5,20,20,MI won by 4 wickets (with 1 ball remaining)
8th match (N),Indore,10-April-2017,10-April-2017,RCB,KXIP,148,4,150,2,149,20,14.3,20,20,Kings XI won by 8 wickets (with 33 balls remaining)
9th match (N),Pune,11-April-2017,11-April-2017,DC,RPS,205,4,108,10,206,20,16.1,20,20,Daredevils won by 97 runs
10th match (N),Wankhede,12-April-2017,12-April-2017,SRH,MI,158,8,159,6,159,20,18.4,20,20,MI won by 4 wickets (with 8 balls remaining)
11th match (N),Eden Gardens,13-April-2017,13-April-2017,KXIP,KKR,170,9,171,2,171,20,16.3,20,20,KKR won by 8 wickets (with 21 balls remaining)
12th match (D/N),Bengaluru,14-April-2017,14-April-2017,RCB,MI,142,5,145,6,143,20,18.5,20,20,MI won by 4 wickets (with 7 balls remaining)
13th match (N),Rajkot,14-April-2017,14-April-2017,RPS,GL,171,8,172,3,172,20,18,20,20,Guj Lions won by 7 wickets (with 12 balls remaining)
14th match (D/N),Eden Gardens,15-April-2017,15-April-2017,KKR,SRH,172,6,155,6,173,20,20,20,20,KKR won by 17 runs
15th match (N),Delhi,15-April-2017,15-April-2017,DC,KXIP,188,6,137,9,189,20,20,20,20,Daredevils won by 51 runs
16th match (D/N),Wankhede,16-April-2017,16-April-2017,GL,MI,176,4,177,4,177,20,19.3,20,20,MI won by 6 wickets (with 3 balls remaining)
17th match (N),Bengaluru,16-April-2017,16-April-2017,RPS,RCB,161,8,134,9,162,20,20,20,20,Supergiant won by 27 runs
18th match (D/N),Delhi,17-April-2017,17-April-2017,DC,KKR,168,7,169,6,169,20,19.5,20,20,KKR won by 4 wickets (with 1 ball remaining)
19th match (N),Hyderabad,17-April-2017,17-April-2017,SRH,KXIP,159,6,154,10,160,20,19.4,20,20,SRH won by 5 runs
20th match (N),Rajkot,18-April-2017,18-April-2017,RCB,GL,213,2,192,7,214,20,20,20,20,RCB won by 21 runs
21st match (N),Hyderabad,19-April-2017,19-April-2017,SRH,DC,191,4,176,5,192,20,20,20,20,SRH won by 15 runs
22nd match (N),Indore,20-April-2017,20-April-2017,KXIP,MI,198,4,199,2,199,20,15.3,20,20,MI won by 8 wickets (with 27 balls remaining)
23rd match (N),Eden Gardens,21-April-2017,21-April-2017,KKR,GL,187,5,188,6,188,20,18.2,20,20,Guj Lions won by 4 wickets (with 10 balls remaining)
24th match (D/N),Pune,22-April-2017,22-April-2017,SRH,RPS,176,3,179,4,177,20,20,20,20,Supergiant won by 6 wickets (with 0 balls remaining)
25th match (N),Wankhede,22-April-2017,22-April-2017,MI,DC,142,8,128,7,143,20,20,20,20,MI won by 14 runs
26th match (D/N),Rajkot,23-April-2017,23-April-2017,KXIP,GL,188,7,162,7,189,20,20,20,20,Kings XI won by 26 runs
27th match (N),Eden Gardens,23-April-2017,23-April-2017,KKR,RCB,131,10,49,10,132,19.3,9.4,20,20,KKR won by 82 runs
28th match (N),Wankhede,24-April-2017,24-April-2017,RPS,MI,160,6,157,8,161,20,20,20,20,Supergiant won by 3 runs
30th match (N),Pune,26-April-2017,26-April-2017,RPS,KKR,182,5,184,3,183,20,18.1,20,20,KKR won by 7 wickets (with 11 balls remaining)
